xrc,xrd,beta_c,beta_d,beta_c_minus,beta_d_minus,N_on_c,N_on_d,N_optout,P_total,Pref,Eavg
0,0,0,0,0,0,0,0,0,0,600,0.5
2,0,1,0,0,0,0,0,0,7.098973632,600,0.499940621
4,0,1,0,0,0,2,0,0,22.79410626,600,0.499884236
5,0,1,0,0,0,6,0,0,42.21884971,600,0.499830485
6,0,1,0,0,0,11,0,0,66.52115222,600,0.499781726
1,0,1,0,0,0,17,0,0,69.94459869,600,0.499739151
7,0,1,0,0,0,18,0,0,95.71611591,600,0.499697906
5,0,1,0,0,0,25,0,0,114.2357021,600,0.499662778
7,0,1,0,0,0,30,0,0,143.670921,600,0.499631131
7,0,1,0,0,0,37,0,0,171.3253281,600,0.499607935
3,0,1,0,0,0,44,0,0,184.1068579,600,0.499592783
9,0,1,0,0,0,47,0,0,219.8350013,600,0.499580606
4,0,1,0,0,0,56,0,0,236.1560039,600,0.499577515
4,0,1,0,0,0,60,0,0,251.7772724,600,0.499577536
8,0,1,0,0,0,64,0,0,282.1920527,600,0.499581285
6,0,1,0,0,0,72,0,0,308.1021744,600,0.499592556
6,0,1,0,0,0,78,0,0,334.5351034,600,0.499610496
4,0,1,0,0,0,84,0,0,350.0275497,600,0.499634974
5,0,1,0,0,0,88,0,0,369.1389358,600,0.499663322
4,0,1,0,0,0,93,0,0,386.6678408,600,0.499695577
2,0,1,0,0,0,97,0,0,396.0007331,600,0.499732389
3,0,1,0,0,0,99,0,0,408.7004051,600,0.499771086
2,0,1,0,0,0,102,0,0,416.7259202,600,0.499814808
4,0,1,0,0,0,104,0,0,431.8932399,600,0.49985999
7,0,1,0,0,0,108,0,0,459.8502707,600,0.49990916
8,0,1,0,0,0,115,0,0,490.7546067,600,0.499965693
3,0,1,0,0,0,123,0,0,504.7051394,600,0.500029797
3,0,1,0,0,0,126,0,0,516.7500557,600,0.500097847
5,0,1,0,0,0,129,0,0,535.355873,600,0.500168465
6,0,1,0,0,0,134,0,0,559.5596321,600,0.500244163
6,0,1,0,0,0,140,0,0,585.1354363,600,0.500326414
7,0,0.571428571,0,0,0,146,0,0,600.9231338,600,0.500415172
4,0,0,0,0,0,150,0,0,600.9231338,600,0.500508009
9,0,0,0,0,0,150,0,0,600.9231338,600,0.500600843
3,0,0,0,0,0,150,0,0,600.9231338,600,0.500693711
2,0,0,0,0,0,150,0,0,600.9231338,600,0.500786384
6,0,0,0,0,0,150,0,0,600.9231338,600,0.500879181
3,0,0,0,0,0,150,0,0,600.9231338,600,0.500972502
2,0,0,0,0,0,150,0,0,600.9231338,600,0.501064644
5,0,0,0,0,0,150,0,0,600.9231338,600,0.50115809
4,0,0,0,0,0,150,0,0,600.9231338,600,0.501250782
4,0,0,0,0,0,150,0,0,600.9231338,600,0.501343902
1,0,0,0,0,0,150,0,0,600.9231338,600,0.501436765
5,0,0,0,0,0,150,0,0,600.9231338,600,0.501529943
4,0,0,0,0,0,150,0,0,600.9231338,600,0.501623728
3,0,0,0,0,0,150,0,0,600.9231338,600,0.501716874
5,0,0,0,0,0,150,0,0,600.9231338,600,0.501810048
1,0,0,0,0,0,150,0,0,600.9231338,600,0.501902659
8,0,0,0,0,0,150,0,0,600.9231338,600,0.501995772
4,0,0,0,0,0,150,0,0,600.9231338,600,0.502088772
4,0,0,0,0,0,150,0,0,600.9231338,600,0.502182161
1,0,0,0,0,0,150,0,0,600.9231338,600,0.502275834
4,0,0,0,0,0,150,0,0,600.9231338,600,0.502369154
8,0,0,0,0,0,150,0,0,600.9231338,600,0.502463217
1,0,0,0,0,0,150,0,0,600.9231338,600,0.502555553
3,0,0,0,0,0,150,0,0,600.9231338,600,0.502648052
2,0,0,0,0,0,150,0,0,600.9231338,600,0.502740795
2,0,0,0,0,0,150,0,0,600.9231338,600,0.502832442
3,0,0,0,0,0,150,0,0,600.9231338,600,0.502925047
3,0,0,0,0,0,150,0,0,600.9231338,600,0.503017261
2,0,0,0,0,0,150,0,0,600.9231338,600,0.503111145
3,0,0,0,0,0,150,0,0,600.9231338,600,0.503204653
4,0,0,0,0,0,150,0,0,600.9231338,600,0.503297647
5,0,0,0,0,0,150,0,0,600.9231338,600,0.503389649
2,0,0,0,0,0,150,0,0,600.9231338,600,0.503481992
6,0,0,0,0,0,150,0,0,600.9231338,600,0.503575036
2,0,0,0,0,0,150,0,0,600.9231338,600,0.503668341
6,0,0,0,0,0,150,0,0,600.9231338,600,0.503761005
3,0,0,0,0,0,150,0,0,600.9231338,600,0.503855155
6,0,0,0,0,0,150,0,0,600.9231338,600,0.503948092
4,0,0,0,0,0,150,0,0,600.9231338,600,0.504040816
2,0,0,0,0,0,150,0,0,600.9231338,600,0.504133544
4,0,0,0,0,0,150,0,0,600.9231338,600,0.504224883
4,0,0,0,0,0,150,0,0,600.9231338,600,0.504317942
8,0,0,0,0,0,150,0,0,600.9231338,600,0.504410385
3,0,0,0,0,0,150,0,0,600.9231338,600,0.504502042
3,0,0,0,0,0,150,0,0,600.9231338,600,0.504596053
3,0,0,0,0,0,150,0,0,600.9231338,600,0.50468896
5,0,0,0,0,0,150,0,0,600.9231338,600,0.504781097
4,0,0,0,0,0,150,0,0,600.9231338,600,0.504873923
4,0,0,0,0,0,150,0,0,600.9231338,600,0.50496717
2,0,0,0,0,0,150,0,0,600.9231338,600,0.505059935
5,0,0,0,0,0,150,0,0,600.9231338,600,0.505153073
0,0,0,0,0,0,150,0,0,600.9231338,600,0.505246129
6,0,0,0,0,0,150,0,0,600.9231338,600,0.50533932
7,0,0,0,0,0,150,0,0,600.9231338,600,0.505431812
2,0,0,0,0,0,150,0,0,600.9231338,600,0.505523911
4,0,0,0,0,0,150,0,0,600.9231338,600,0.505616633
3,0,0,0,0,0,150,0,0,600.9231338,600,0.505710246
5,0,0,0,0,0,150,0,0,600.9231338,600,0.505803711
3,0,0,0,0,0,150,0,0,600.9231338,600,0.505895188
6,0,0.333333333,0,0.013333333,0,148,0,0,601.5355834,600,0.50598794
4,0,1,0,0.026666667,0,146,0,0,601.432688,600,0.506080413
3,0,1,0,0.033333333,0,145,0,0,594.7315235,600,0.506173289
8,0,1,0,0.040540541,0,142,0,0,602.998748,600,0.506263831
5,0,0.2,0,0.006666667,0,149,0,0,603.0728004,600,0.506356225
6,0,1,0,0.046666667,0,143,0,0,600.0928836,600,0.506449271
4,0,1,0,0.033557047,0,144,0,0,596.8500254,600,0.506541497
4,0,1,0,0.047297297,0,141,0,0,582.351524,600,0.506632467
5,0,1,0,0.048275862,0,138,0,0,575.4635881,600,0.506719455
5,0,1,0,0.020979021,0,140,0,0,583.5564983,600,0.506803168
1,0,1,0,0.062068966,0,136,0,0,551.1644223,600,0.506890712
4,0,1,0,0.02919708,0,133,0,0,550.4980247,600,0.506968803
2,0,1,0,0.02919708,0,133,0,0,543.2932653,600,0.50704827
0,0,0,0,0.059259259,0,127,0,0,512.8784851,600,0.50712643
8,0,1,0,0.047244094,0,121,0,0,521.3617418,600,0.507195954
3,0,1,0,0.046511628,0,123,0,0,507.3278262,600,0.507268606
6,0,1,0,0.031746032,0,122,0,0,515.3009395,600,0.507337565
6,0,1,0,0.0390625,0,123,0,0,520.774268,600,0.507409146
1,0,1,0,0.031007752,0,125,0,0,508.0343639,600,0.507480665
