xrc,xrd,beta_c,beta_d,beta_c_minus,beta_d_minus,N_on_c,N_on_d,N_optout,P_total,Pref,Eavg
0,0,0,0,0,0,0,0,0,0,600,0.5
4,2,1,0,0,0,0,0,0,16.54227463,600,0.499970912
4,6,1,0,0,0,4,0,0,36.16168968,600,0.499943617
7,5,1,0,0,0,8,0,0,67.60970578,600,0.499919349
4,2,1,0,0,0,15,0,0,82.64205789,600,0.499898081
6,2,1,0,0,0,19,0,0,111.9339253,600,0.499879817
2,4,1,0,0,0,25,0,0,119.2085102,600,0.499865655
5,6,1,0,0,0,27,0,0,140.4163385,600,0.499854067
6,1,1,0,0,0,32,0,0,166.8458798,600,0.499846778
6,0,1,0,0,0,38,0,0,195.7508505,600,0.499843567
6,6,1,0,0,0,44,0,0,220.4977478,600,0.499844578
8,5,1,0,0,0,50,0,0,257.7226416,600,0.499850001
9,5,1,0,0,0,58,0,0,294.5139157,600,0.49986174
5,3,1,0,0,0,67,0,0,316.4010453,600,0.499881122
8,3,1,0,0,0,72,0,0,349.9570441,600,0.499903713
4,2,1,0,0,0,80,0,0,366.696029,600,0.499931379
4,1,1,0,0,0,84,0,0,382.3418689,600,0.499963264
3,1,1,0,0,0,88,0,0,395.794874,600,0.499998687
2,3,1,0,0,0,91,0,0,406.5294827,600,0.500036029
4,3,1,0,0,0,93,0,0,426.1689791,600,0.500074837
1,2,1,0,0,0,97,0,0,431.4925344,600,0.500117928
5,0,1,0,0,0,98,0,0,455.4674852,600,0.500160704
3,1,1,0,0,0,103,0,0,467.4219142,600,0.500207451
1,3,1,0,0,0,106,0,0,471.9592013,600,0.500256895
6,5,1,0,0,0,107,0,0,496.1485526,600,0.500306957
1,3,1,0,0,0,113,0,0,500.3300207,600,0.500363855
2,0,1,0,0,0,114,0,0,508.7316317,600,0.5004201
10,1,1,0,0,0,116,0,0,556.5120701,600,0.500478117
1,3,1,0,0,0,126,0,0,559.8346326,600,0.500544629
2,1,1,0,0,0,127,0,0,568.6840514,600,0.500612152
5,1,1,0,0,0,129,0,0,589.8539194,600,0.500681633
4,2,0.75,0,0,0,134,0,0,603.2722475,600,0.500755168
5,1,0,1,0,0,137,0,0,597.5637965,600,0.500831145
2,4,0.5,0,0,0,137,1,0,601.7292701,600,0.500906409
7,5,0,0.2,0,0,138,1,0,596.5135565,600,0.500982672
3,1,0.333333333,0,0,0,138,2,0,603.7250032,600,0.501058353
6,4,0,0.25,0,0,139,2,0,598.6419645,600,0.501134884
2,0,0.5,0,0,0,139,3,0,603.0911646,600,0.501211372
3,3,0,0.333333333,0,0,140,3,0,598.6607152,600,0.50128942
6,4,0.166666667,0,0,0,140,4,0,602.0459166,600,0.50136589
8,1,0,1,0,0,141,4,0,596.7098769,600,0.50144312
6,0,0.166666667,0,0,0,141,5,0,601.2751094,600,0.501520106
3,0,0,0,0,0,142,5,0,601.2751094,600,0.501596334
5,1,0,1,0,0,142,5,0,596.0845423,600,0.501673472
4,2,0.25,0,0,0,142,6,0,600.0255986,600,0.501750323
1,0,0,0,0,0,143,6,0,600.0255986,600,0.501827365
5,4,0,0.25,0,0,143,6,0,595.6179727,600,0.501904211
1,4,1,0,0,0,143,7,0,599.1603042,600,0.501979867
5,1,0.2,0,0,0,144,7,0,604.7870519,600,0.50205546
4,1,0,1,0,0,145,7,0,599.8850778,600,0.502133157
5,3,0.2,0,0,0,145,8,0,603.5473432,600,0.502209335
2,2,0,0.5,0,0,146,8,0,598.4715,600,0.502287273
7,3,0.142857143,0,0,0,146,9,0,603.0735058,600,0.502364398
1,2,0,0.5,0,0,147,9,0,598.2181294,600,0.502441345
3,0,0.333333333,0,0,0,147,10,0,603.0796239,600,0.502518436
2,3,0,0.333333333,0,0,148,10,0,596.22836,600,0.502595669
5,2,0.2,0,0,0,148,11,0,601.1481725,600,0.502671786
5,2,0,0.5,0,0,149,11,0,597.967782,600,0.502749675
1,4,1,0,0,0,149,12,0,602.0367327,600,0.502825674
4,0,0,0,0,0,150,12,0,602.0367327,600,0.502903525
4,5,0,0.2,0,0,150,12,0,597.5589971,600,0.502981035
3,4,0.333333333,0,0,0,150,13,0,602.0154282,600,0.503058096
1,1,0,1,0,0,151,13,0,598.811902,600,0.503136438
7,2,0.142857143,0,0,0,151,14,0,603.3359352,600,0.503213499
3,3,0,0.333333333,0,0,152,14,0,597.7133432,600,0.503291809
1,2,1,0,0,0,152,15,0,602.3677172,600,0.503369026
2,3,0,0.333333333,0,0,153,15,0,595.4060567,600,0.503447381
8,2,0.25,0,0,0,153,16,0,603.6844298,600,0.503524912
3,1,0,1,0,0,155,16,0,598.185643,600,0.503604225
4,2,0.25,0,0,0,155,17,0,602.7881433,600,0.503682674
4,0,0,0,0,0,156,17,0,602.7881433,600,0.503761907
1,2,0,0.5,0,0,156,17,0,597.1505994,600,0.503840711
3,0,0.333333333,0,0,0,156,18,0,600.6992489,600,0.503919051
4,1,0,1,0,0,157,18,0,596.6571952,600,0.503998177
6,3,0.166666667,0,0,0,157,19,0,601.3354752,600,0.504076894
1,1,0,1,0,0,158,19,0,597.5546426,600,0.504157361
5,1,0.2,0,0,0,158,20,0,601.9225387,600,0.504237533
4,3,0,0.333333333,0,0,159,20,0,598.4908331,600,0.504317989
4,0,0.25,0,0,0,159,21,0,602.430524,600,0.504398184
1,1,0,1,0,0,160,21,0,597.369073,600,0.504478962
6,4,0.166666667,0,0,0,160,22,0,601.0887032,600,0.504559417
3,1,0,1,0,0,161,22,0,597.3202125,600,0.504640457
2,1,0.5,0,0,0,161,23,0,602.3927756,600,0.504720694
3,2,0,0.5,0,0,162,23,0,598.2990951,600,0.504802169
5,0,0.2,0,0,0,162,24,0,602.8860833,600,0.504882927
7,1,0,1,0,0,163,24,0,598.7208726,600,0.50496335
3,1,0.333333333,0,0,0,163,25,0,603.1991873,600,0.505043411
1,1,0,1,0,0,164,25,0,596.6089327,600,0.505124103
4,1,0.25,0,0,0,164,26,0,600.4158953,600,0.505204239
4,1,0,1,0,0,165,26,0,594.6175565,600,0.505284725
5,2,0.4,0,0,0,165,27,0,603.8367778,600,0.505365105
2,2,1,0,0.023952096,0,163,27,0,593.9317413,600,0.505446803
2,2,1,0,0.024242424,0,161,27,0,583.021569,600,0.505526555
3,3,1,0,0.042944785,0,156,27,0,564.3938706,600,0.505604842
5,2,1,0,0.025157233,0,155,27,0,575.4253531,600,0.505681896
5,1,1,0,0.0375,0,154,27,0,568.7994222,600,0.505759259
4,1,1,0,0.012578616,0,157,27,0,578.5553895,600,0.505836378
2,2,1,0,0.031055901,0,156,27,0,565.0567839,600,0.505915518
1,4,1,0,0.037974684,0,152,27,0,542.3825548,600,0.505991927
4,1,1,0,0.039215686,0,147,27,0,528.4660901,600,0.506065052
2,1,1,0,0.039735099,0,145,27,0,513.6226715,600,0.506137233
3,1,1,0,0.054421769,0,139,27,0,488.9946351,600,0.506207388
4,0,1,0,0.063380282,0,133,27,0,470.9869753,600,0.506273708
9,1,1,0,0.03649635,0,132,27,0,487.309729,600,0.506334814
2,1,1,0,0.056737589,0,133,27,0,462.9028161,600,0.506398915
7,0,1,0,0.02962963,0,131,27,0,479.459037,600,0.506458533
2,4,1,0,0.028985507,0,134,27,0,472.5811597,600,0.506522319
5,3,1,0,0.022058824,0,133,27,0,481.9534262,600,0.506584835
6,3,1,0,0.014492754,0,136,27,0,497.3226663,600,0.50664917
2,3,1,0,0.028169014,0,138,27,0,488.9729521,600,0.506715952
3,3,1,0,0.007142857,0,139,27,0,494.0130812,600,0.506780078
4,1,1,0,0.035211268,0,137,27,0,486.5707221,600,0.506846094
1,1,1,0,0.021276596,0,138,27,0,479.5948682,600,0.506912536
2,0,1,0,0.007194245,0,138,27,0,483.6749669,600,0.506976626
4,2,1,0,0.042857143,0,134,27,0,476.8729441,600,0.507041066
5,3,1,0,0.007246377,0,137,27,0,496.9920895,600,0.507103069
0,2,0,0,0.014084507,0,140,27,0,488.5904785,600,0.507167729
3,2,1,0,0.071428571,0,130,27,0,454.2457887,600,0.507230545
5,3,1,0,0.007518797,0,132,27,0,471.7814561,600,0.507288525
5,2,1,0,0.01459854,0,135,27,0,484.6892248,600,0.507348781
0,4,0,0,0.035714286,0,135,27,0,463.5193567,600,0.50741102
1,6,1,0,0.022222222,0,132,27,0,453.3261802,600,0.507468776
1,2,1,0,0,1,133,26,0,464.5855129,600,0.507525083
3,2,1,0,0.007462687,0,133,26,0,473.8138372,600,0.507582761
3,2,1,0,0,1,136,25,0,491.9073954,600,0.50764162
7,2,1,0,0.007194245,0,138,25,0,520.0592012,600,0.507703484
2,2,1,0,0,1,145,24,0,532.7697057,600,0.507770774
2,1,1,0,0.006802721,0,146,24,0,536.4612746,600,0.507841204
4,2,1,0,0,1,148,23,0,555.8029463,600,0.507912099
2,1,1,0,0.006578947,0,151,23,0,560.1780591,600,0.507985457
9,1,0.888888889,0,0,1,153,22,0,602.1973082,600,0.508060694
3,0,0.333333333,0,0.00621118,0,160,22,0,600.8171043,600,0.508141301
2,3,0,0.333333333,0,0,161,22,0,594.187755,600,0.508222024
5,2,0.2,0,0,1,161,22,0,604.0419684,600,0.508303266
4,1,0,1,0.00617284,0,161,22,0,594.922053,600,0.508385115
2,1,0.5,0,0,0,161,23,0,602.0930488,600,0.508465384
5,3,0,0.666666667,0,1,162,22,0,598.5407395,600,0.508547128
5,1,0.4,0,0.00617284,0,161,24,0,603.2945476,600,0.508628859
6,4,0.166666667,0,0.006134969,0,162,24,0,604.0439262,600,0.508710581
4,1,0,1,0,1,163,23,0,603.622345,600,0.508793264
2,1,0.5,0,0.006134969,0,162,24,0,603.2890324,600,0.508875147
2,0,0,0,0,1,163,23,0,608.3648756,600,0.508956615
1,2,0,0.5,0.006134969,0,162,23,0,599.7047678,600,0.509038779
3,1,0,1,0,1,162,23,0,598.9521644,600,0.509120784
3,0,0.666666667,0,0.00617284,0,161,24,0,603.096817,600,0.509202604
2,0,0,0,0,1,163,23,0,609.9480809,600,0.509285414
3,2,0,1,0.006134969,0,162,23,0,595.903139,600,0.509368803
3,4,0.333333333,0,0,1,162,24,0,603.6770857,600,0.5094519
2,0,0.5,0,0.006134969,0,162,24,0,605.0884641,600,0.509535972
4,3,0,0.333333333,0,0,163,24,0,599.5295303,600,0.509619104
3,2,0,0.5,0,1,163,24,0,599.6984118,600,0.509701057
5,3,0.4,0,0.006134969,0,162,25,0,604.4458741,600,0.509783629
4,1,0,1,0,1,164,24,0,602.0228842,600,0.509866931
5,1,0.2,0,0.006097561,0,163,25,0,601.7343376,600,0.509949624
6,2,0,1,0,1,164,24,0,597.6552486,600,0.510032192
3,0,0.666666667,0,0.006097561,0,163,26,0,600.7921001,600,0.510114766
4,0,0,0,0,1,165,25,0,607.7537606,600,0.510197612
4,2,0.25,0,0.012121212,0,163,25,0,604.1387539,600,0.51028099
2,6,0,0.5,0,1,164,24,0,593.4060387,600,0.510364499
4,0,0.75,0,0.006097561,0,163,27,0,603.8174753,600,0.510446463
6,1,0,1,0,0,166,27,0,599.9348153,600,0.510530091
7,1,0,1,0,1,166,27,0,600.0864276,600,0.510613722
3,2,0.333333333,0,0.006024096,0,165,28,0,601.2319281,600,0.510696907
5,2,0,1,0,1,166,27,0,596.387501,600,0.510780003
6,4,0.333333333,0,0.006024096,0,165,29,0,601.0439697,600,0.510861667
4,2,0,0.5,0,1,167,28,0,599.8180404,600,0.510945277
4,2,0.25,0,0.005988024,0,166,29,0,601.583655,600,0.511028226
3,1,0,1,0,1,167,28,0,600.450128,600,0.51111157
3,1,0.666666667,0,0.005988024,0,166,29,0,603.6643499,600,0.511194169
3,2,0,1,0,1,168,28,0,600.6338438,600,0.511278011
4,5,0.25,0,0.005952381,0,167,30,0,601.1673822,600,0.511361922
1,2,0,0.5,0,1,168,29,0,599.4299095,600,0.511445526
2,1,1,0,0.005952381,0,167,30,0,601.8865723,600,0.511528467
2,0,0,0,0,1,169,29,0,605.9802529,600,0.511612623
6,0,0,0,0.00591716,0,168,29,0,601.3932646,600,0.511697647
3,2,0,1,0,1,168,28,0,593.8338197,600,0.51178302
3,2,1,0,0.005952381,0,167,30,0,601.9558908,600,0.511867833
2,0,0,0,0,1,170,29,0,608.5461455,600,0.511953531
3,0,0,0,0.005882353,0,169,29,0,604.7391828,600,0.512040413
2,0,0,0,0,1,169,28,0,610.5375217,600,0.512126456
6,0,0,0,0.01183432,0,167,28,0,601.3183003,600,0.512212296
2,2,1,0,0.011976048,0,165,28,0,601.8323607,600,0.512297332
3,1,0.666666667,0,0.011976048,0,165,28,0,600.7513757,600,0.512382585
1,1,1,0,0.017964072,0,164,28,0,593.2739102,600,0.512469484
3,3,1,0,0.03030303,0,160,28,0,578.4867548,600,0.512554141
2,1,1,0,0.030674847,0,158,28,0,564.4505089,600,0.512637204
3,0,1,0,0.025,0,156,28,0,564.6272273,600,0.512717846
1,2,1,0,0.012578616,0,157,28,0,561.9938477,600,0.512797409
4,1,1,0,0.006329114,0,157,28,0,574.8838193,600,0.512875911
5,3,1,0,0.02484472,0,157,28,0,581.1936777,600,0.512956555
0,1,0,0,0.012345679,0,160,28,0,571.290199,600,0.513038696
3,0,1,0,0.01875,0,157,28,0,570.0279955,600,0.513119222
5,5,1,0,0.025,0,156,28,0,571.1408966,600,0.513200484
2,4,1,0,0.055900621,0,152,28,0,542.1009619,600,0.513280981
3,1,1,0,0.012987013,0,152,28,0,545.3351746,600,0.513357024
5,1,1,0,0.04516129,0,148,28,0,534.7408356,600,0.51343337
5,1,1,0,0.013071895,0,151,28,0,551.1971429,600,0.513505363
3,1,1,0,0.032051282,0,151,28,0,540.3594588,600,0.513580204
6,1,1,0,0.038961039,0,148,28,0,542.0159137,600,0.513653073
3,0,1,0,0.012987013,0,152,28,0,541.5585164,600,0.513725415
1,1,1,0,0.019354839,0,152,28,0,535.4091633,600,0.513797941
1,1,1,0,0.026143791,0,149,28,0,523.5832745,600,0.513870843
7,1,1,0,0.006666667,0,149,28,0,552.3309543,600,0.513940678
4,1,1,0,0.012820513,0,154,28,0,560.5524823,600,0.514014917
3,3,1,0,0.025316456,0,154,28,0,556.5000354,600,0.514091711
2,1,1,0,0.031847134,0,152,28,0,540.4323258,600,0.514166902
1,2,1,0,0,0,154,28,0,544.751089,600,0.51423973
2,2,1,0,0.019354839,0,152,28,0,540.5420668,600,0.514313247
3,2,1,0,0.032467532,0,149,28,0,532.0584016,600,0.514386556
5,4,1,0,0.032894737,0,147,28,0,532.0213728,600,0.514459541
3,1,1,0,0,0,152,28,0,547.2564569,600,0.514532287
3,1,1,0,0.006451613,0,154,28,0,555.4598014,600,0.514606809
1,2,1,0,0.006369427,0,156,28,0,556.4991743,600,0.514682675
1,0,1,0,0.01910828,0,154,28,0,547.6294096,600,0.514759292
4,4,1,0,0.019354839,0,152,28,0,550.4382746,600,0.514833481
4,1,1,0,0.044871795,0,149,28,0,534.9691115,600,0.514908944
4,1,1,0,0.013071895,0,151,28,0,542.7785356,600,0.51498043
1,2,1,0,0.012903226,0,153,28,0,538.6714736,600,0.515053802
4,2,1,0,0.025974026,0,150,28,0,541.78096,600,0.515125171
3,4,1,0,0.012987013,0,152,28,0,546.2226162,600,0.515197057
4,0,1,0,0.051612903,0,147,28,0,529.6064711,600,0.515269035
3,3,1,0,0.006622517,0,150,28,0,541.6132009,600,0.515338142
2,5,1,0,0,1,153,27,0,555.307081,600,0.515409561
4,4,1,0,0.006451613,0,154,27,0,566.9932749,600,0.515482746
3,1,1,0,0,1,158,26,0,583.9136431,600,0.515559194
3,2,1,0,0.00621118,0,160,26,0,589.1441361,600,0.515637523
5,1,0.2,0,0,2,163,24,0,602.1548614,600,0.515717494
2,1,1,0,0.012195122,0,162,24,0,603.6706114,600,0.515799337
3,2,0.333333333,0,0.006097561,0,163,24,0,603.0018431,600,0.515880673
3,2,0,1,0,1,164,23,0,599.7058763,600,0.515961829
3,5,0.333333333,0,0.006097561,0,163,25,0,601.5517551,600,0.516042477
3,0,0,0,0,0,164,25,0,601.5517551,600,0.516123035
8,4,0,0.25,0,1,164,24,0,599.6983268,600,0.516203344
6,1,0,1,0,1,164,24,0,601.1410959,600,0.516283718
2,5,1,0,0.012195122,0,162,25,0,602.1192636,600,0.516364136
5,8,0,0.125,0,0,164,25,0,597.8031168,600,0.51644399
0,7,0,0.285714286,0,2,164,24,0,596.8414233,600,0.516524026
5,3,0.4,0,0.006097561,0,163,26,0,601.2300297,600,0.516603916
2,3,1,0,0.006060606,0,164,26,0,605.7022479,600,0.516683835
7,0,0,0,0,1,166,25,0,611.2611817,600,0.516764907
2,1,0,1,0,1,166,24,0,610.4173313,600,0.516846365
4,0,0,0,0.012048193,0,164,25,0,601.2134379,600,0.516927881
7,2,0,1,0,1,164,24,0,595.5493136,600,0.517007439
1,1,1,0,0.006097561,0,163,26,0,595.7915626,600,0.51708581
0,1,0,1,0,2,164,24,0,598.5315831,600,0.517164775
5,4,0.6,0,0.012195122,0,162,25,0,601.5172883,600,0.51724417
3,0,0,0,0,0,165,25,0,601.5172883,600,0.517323789
2,0,0.5,0,0.006060606,0,164,25,0,600.3167461,600,0.517402665
0,1,0,1,0,3,165,22,0,612.198305,600,0.517480694
3,2,0.333333333,0,0.018181818,0,162,23,0,600.765377,600,0.51756028
4,1,0,1,0,1,163,22,0,599.5569187,600,0.517638548
2,2,0,1,0,1,163,22,0,597.0971593,600,0.517716921
2,1,1,0,0.006134969,0,162,24,0,599.2737624,600,0.517795339
5,2,0,1,0,2,164,22,0,597.8013501,600,0.517875629
4,2,0.75,0,0.012195122,0,162,24,0,601.1054713,600,0.517955515
3,2,0,1,0,1,165,23,0,595.4135664,600,0.518034773
4,1,0.75,0,0.006060606,0,164,25,0,602.3158828,600,0.518113368
2,0,0,0,0,1,167,24,0,606.8811153,600,0.5181935
2,3,0.5,0,0.011976048,0,165,24,0,603.820883,600,0.518274069
4,1,0,1,0,2,166,22,0,607.085316,600,0.518353855
2,3,0,0.333333333,0.006024096,0,165,23,0,599.249198,600,0.51843446
8,0,0,0,0,1,165,23,0,604.7551614,600,0.518513358
